"","RT","SERIALNO","SPORDER","PUMA","ST","ADJINC","PWGTP","AGEP","CIT","CITWP","COW","DDRS","DEAR","DEYE","DOUT","DPHY","DRAT","DRATX","DREM","ENG","FER","GCL","GCM","GCR","HINS1","HINS2","HINS3","HINS4","HINS5","HINS6","HINS7","INTP","JWMNP","JWRIP","JWTR","LANX","MAR","MARHD","MARHM","MARHT","MARHW","MARHYP","MIG","MIL","MLPA","MLPB","MLPCD","MLPE","MLPFG","MLPH","MLPI","MLPJ","MLPK","NWAB","NWAV","NWLA","NWLK","NWRE","OIP","PAP","RELP","RETP","SCH","SCHG","SCHL","SEMP","SEX","SSIP","SSP","WAGP","WKHP","WKL","WKW","WRK","YOEP","ANC","ANC1P","ANC2P","DECADE","DIS","DRIVESP","ESP","ESR","FHICOVP","FOD1P","FOD2P","HICOV","HISP","INDP","JWAP","JWDP","LANP","MIGPUMA","MIGSP","MSP","NAICSP","NATIVITY","NOP","OC","OCCP","PAOC","PERNP","PINCP","POBP","POVPIP","POWPUMA","POWSP","PRIVCOV","PUBCOV","QTRBIR","RAC1P","RAC2P","RAC3P","RACAIAN","RACASN","RACBLK","RACNH","RACNUM","RACPI","RACSOR","RACWHT","RC","SCIENGP","SCIENGRLP","SFN","SFR","SOCP","VPS","WAOB","FAGEP","FANCP","FCITP","FCITWP","FCOWP","FDDRSP","FDEARP","FDEYEP","FDISP","FDOUTP","FDPHYP","FDRATP","FDRATXP","FDREMP","FENGP","FESRP","FFERP","FFODP","FGCLP","FGCMP","FGCRP","FHINS1P","FHINS2P","FHINS3C","FHINS3P","FHINS4C","FHINS4P","FHINS5C","FHINS5P","FHINS6P","FHINS7P","FHISP","FINDP","FINTP","FJWDP","FJWMNP","FJWRIP","FJWTRP","FLANP","FLANXP","FMARHDP","FMARHMP","FMARHTP","FMARHWP","FMARHYP","FMARP","FMIGP","FMIGSP","FMILPP","FMILSP","FOCCP","FOIP","FPAP","FPERNP","FPINCP","FPOBP","FPOWSP","FPRIVCOVP","FPUBCOVP","FRACP","FRELP","FRETP","FSCHGP","FSCHLP","FSCHP","FSEMP","FSEXP","FSSIP","FSSP","FWAGP","FWKHP","FWKLP","FWKWP","FWRKP","FYOEP","pwgtp1","pwgtp2","pwgtp3","pwgtp4","pwgtp5","pwgtp6","pwgtp7","pwgtp8","pwgtp9","pwgtp10","pwgtp11","pwgtp12","pwgtp13","pwgtp14","pwgtp15","pwgtp16","pwgtp17","pwgtp18","pwgtp19","pwgtp20","pwgtp21","pwgtp22","pwgtp23","pwgtp24","pwgtp25","pwgtp26","pwgtp27","pwgtp28","pwgtp29","pwgtp30","pwgtp31","pwgtp32","pwgtp33","pwgtp34","pwgtp35","pwgtp36","pwgtp37","pwgtp38","pwgtp39","pwgtp40","pwgtp41","pwgtp42","pwgtp43","pwgtp44","pwgtp45","pwgtp46","pwgtp47","pwgtp48","pwgtp49","pwgtp50","pwgtp51","pwgtp52","pwgtp53","pwgtp54","pwgtp55","pwgtp56","pwgtp57","pwgtp58","pwgtp59","pwgtp60","pwgtp61","pwgtp62","pwgtp63","pwgtp64","pwgtp65","pwgtp66","pwgtp67","pwgtp68","pwgtp69","pwgtp70","pwgtp71","pwgtp72","pwgtp73","pwgtp74","pwgtp75","pwgtp76","pwgtp77","pwgtp78","pwgtp79","pwgtp80"
"1158","P","281031",5,100,56,1008425,77,16,1,NA,NA,2,2,2,2,2,NA,NA,2,NA,NA,NA,NA,NA,2,2,2,1,2,2,2,0,NA,NA,NA,2,5,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,2,2,3,0,0,3,0,2,11,11,0,1,0,0,0,NA,3,NA,2,NA,1,195,999,NA,2,NA,5,6,0,NA,NA,1,1,NA,NA,NA,NA,NA,NA,6,"",1,5,1,NA,NA,0,0,12,178,NA,NA,2,1,1,1,1,1,0,0,0,0,1,0,0,1,1,NA,NA,NA,NA,"",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,110,109,69,18,69,146,93,75,88,106,31,24,29,87,87,53,72,86,125,33,26,28,100,130,76,24,84,75,32,80,116,117,131,92,95,95,62,70,149,31,20,30,75,131,88,26,110,65,25,63,136,83,124,106,120,102,63,98,36,145,172,118,71,18,65,135,77,68,109,72,24,24,27,55,64,92,83,81,20
"4028","P","1019768",1,500,56,1008425,77,34,1,NA,1,2,2,2,2,2,NA,NA,2,NA,2,2,NA,NA,2,2,2,2,2,2,2,4,7,1,1,2,3,2,2,1,2,2003,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,3,3,3,2800,0,0,0,1,NA,20,0,2,0,0,23000,41,1,3,1,NA,1,32,999,NA,2,1,NA,1,0,NA,NA,2,1,7290,95,55,NA,NA,NA,4,"5413",1,NA,0,100,1,23000,25804,56,158,500,56,2,2,3,1,1,1,0,0,0,0,1,0,0,1,0,NA,NA,NA,NA,"113011",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,124,85,101,69,23,80,52,151,26,87,132,80,61,23,26,138,86,98,24,95,138,78,55,75,26,89,90,154,26,124,105,70,79,31,25,111,70,83,24,89,100,75,84,74,22,119,84,103,21,148,141,74,83,30,25,128,71,83,30,78,138,57,95,53,22,69,97,122,28,145,117,68,80,22,22,114,93,77,22
"99","P","25192",1,300,56,1008425,65,46,1,NA,7,2,2,2,2,2,NA,NA,2,NA,NA,2,NA,NA,2,1,2,2,2,2,2,0,15,1,1,2,1,2,2,1,2,1996,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,3,3,3,0,0,0,0,1,NA,19,0,1,0,0,96000,50,1,1,1,NA,1,32,999,NA,2,1,NA,1,0,NA,NA,1,1,8590,103,61,NA,NA,NA,1,"713Z",1,NA,0,430,NA,96000,96000,35,414,300,56,1,2,4,1,1,1,0,0,0,0,1,0,0,1,0,NA,NA,NA,NA,"119XXX",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,96,135,123,93,90,70,70,56,20,18,19,55,103,72,17,80,76,22,100,73,92,109,126,60,64,65,68,57,15,21,17,63,127,68,18,65,80,20,20,63,13,19,20,50,67,79,74,72,119,115,118,61,19,73,119,69,70,126,19,58,16,16,17,82,64,77,69,70,89,92,118,66,24,81,87,72,75,134,83
"498","P","131626",1,500,56,1008425,15,19,1,NA,1,2,2,2,2,2,NA,NA,2,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,0,NA,NA,NA,2,5,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,2,2,3,0,0,17,0,2,15,19,0,1,0,0,0,NA,2,NA,2,NA,1,902,999,NA,2,NA,NA,6,0,NA,NA,1,1,8470,NA,NA,NA,NA,NA,6,"6244",1,NA,0,4220,NA,0,0,41,NA,NA,NA,1,2,2,2,2,2,0,0,1,0,1,0,0,0,0,NA,NA,NA,NA,"37201X",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,35,16,30,34,16,16,16,15,27,13,34,21,26,28,27,25,16,15,16,2,2,15,2,2,13,17,18,15,2,15,3,12,3,2,2,2,19,21,13,2,2,17,3,2,18,15,14,21,3,14,2,15,2,2,3,2,17,13,17,32,34,16,27,25,12,14,14,15,28,17,26,14,33,29,29,29,14,15,15
"4580","P","1186499",2,300,56,1008425,113,68,1,NA,6,2,2,2,2,2,2,1,2,NA,NA,2,NA,NA,2,2,1,1,1,2,2,0,10,1,1,2,1,2,2,2,2,2009,1,2,0,0,0,1,0,0,0,0,0,3,5,3,3,3,0,0,1,0,1,NA,21,60000,1,0,9600,0,30,1,3,1,NA,2,925,88,NA,2,1,NA,1,1,5200,NA,1,1,7070,3,1,NA,NA,NA,1,"531",1,NA,0,410,NA,60000,69600,40,501,300,56,1,1,2,1,1,1,0,0,0,0,1,0,0,1,0,1,2,NA,NA,"119141",6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,121,197,47,35,184,95,106,123,121,190,83,74,125,41,83,40,148,100,23,178,121,30,222,250,36,142,106,39,83,29,144,84,127,255,145,172,112,123,139,46,119,222,41,30,174,120,115,135,90,228,81,116,133,36,129,34,116,92,37,154,123,29,162,226,38,92,125,44,120,30,115,110,102,261,118,181,133,96,192
"2933","P","752612",1,300,56,1008425,102,45,1,NA,3,2,2,2,2,2,NA,NA,2,NA,2,2,NA,NA,1,2,2,2,2,2,2,0,8,2,1,2,1,2,2,1,2,1995,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,3,3,3,0,0,0,0,1,NA,21,0,2,0,0,21000,40,1,1,1,NA,2,32,50,NA,2,2,NA,1,0,2901,6206,1,1,7860,86,46,NA,NA,NA,1,"6111",1,NA,0,2540,2,21000,21000,44,240,300,56,1,2,4,1,1,1,0,0,0,0,1,0,0,1,0,2,2,NA,NA,"259041",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,69,107,126,85,86,92,174,86,27,143,83,139,106,27,97,39,157,95,122,24,24,80,127,93,99,126,153,163,38,176,138,141,97,38,110,38,161,90,129,36,26,114,122,81,78,109,171,129,38,180,68,155,97,33,124,34,184,101,230,27,44,87,95,91,101,138,204,106,31,138,147,204,75,31,106,29,174,68,132
"2639","P","686019",2,300,56,1008425,107,65,1,NA,NA,2,2,2,2,2,NA,NA,2,1,NA,2,NA,NA,1,2,1,2,2,2,2,0,NA,NA,NA,1,1,2,2,3,2,1991,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,2,2,3,0,0,1,40000,1,NA,11,0,1,0,18000,0,NA,3,NA,2,NA,1,200,999,NA,2,NA,NA,6,0,NA,NA,1,23,NA,NA,NA,625,NA,NA,1,"",1,NA,0,NA,NA,0,58000,35,501,NA,NA,1,1,3,1,1,1,0,0,0,0,1,0,0,1,0,NA,NA,NA,NA,"",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,53,150,99,39,100,134,137,120,88,84,83,110,88,32,38,30,91,145,35,118,147,110,124,182,108,35,43,59,130,141,159,87,130,148,170,168,110,48,283,132,42,108,145,25,100,219,191,228,129,101,126,105,169,29,32,44,95,187,26,83,157,106,77,184,98,23,32,39,96,128,110,104,77,172,167,156,98,31,187
"2433","P","629869",1,500,56,1008425,236,80,1,NA,NA,2,2,2,2,2,NA,NA,2,NA,NA,2,NA,NA,1,1,1,2,2,2,2,1000,NA,NA,NA,2,2,2,2,1,2,1954,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,2,2,3,0,0,0,25500,1,NA,16,0,2,0,19500,0,NA,3,NA,2,NA,1,51,999,NA,2,NA,NA,6,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,3,"",1,NA,0,NA,4,0,46000,56,411,NA,NA,1,1,4,1,1,1,0,0,0,0,1,0,0,1,0,NA,NA,NA,NA,"",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,1,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,58,204,347,81,390,317,210,223,230,218,220,89,419,270,267,384,324,234,193,242,277,246,229,310,247,288,106,80,81,131,267,163,280,89,343,194,206,282,504,373,308,187,132,237,91,243,180,227,223,283,222,315,50,167,302,79,122,233,301,294,270,74,165,261,242,82,476,369,321,407,92,226,161,298,68,233,194,105,101
"3928","P","984631",2,200,56,1008425,22,66,1,NA,NA,2,1,2,2,2,NA,2,2,NA,NA,2,NA,NA,1,2,1,2,2,2,2,0,NA,NA,NA,2,1,2,2,1,2,1991,1,2,0,0,0,1,0,0,0,0,0,2,5,2,2,3,0,0,1,15600,1,NA,20,0,1,0,20900,0,NA,3,NA,2,NA,1,32,999,NA,1,NA,NA,6,0,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,"",1,NA,0,NA,NA,0,36500,56,277,NA,NA,1,1,3,1,1,1,0,0,0,0,1,0,0,1,0,NA,NA,NA,NA,"",6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,19,8,22,6,21,31,21,41,17,32,20,24,32,22,6,37,31,5,6,25,27,7,17,6,31,20,21,36,14,39,25,18,24,17,4,29,32,6,8,18,24,6,18,4,21,24,17,35,23,31,25,26,40,20,6,38,41,6,5,23,18,6,20,8,20,18,29,55,21,36,19,19,32,17,3,29,42,7,10
"5712","P","1476755",2,100,56,1008425,19,60,1,NA,6,2,2,2,2,2,NA,NA,2,NA,NA,2,NA,NA,1,2,2,2,2,2,2,133000,NA,NA,NA,2,1,2,2,2,2,2008,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,2,2,2,0,0,1,0,1,NA,16,0,1,0,0,0,NA,2,NA,2,NA,1,32,999,NA,2,NA,NA,6,0,NA,NA,1,1,170,NA,NA,NA,NA,NA,1,"111",1,NA,0,205,NA,0,133000,27,501,NA,NA,1,2,2,1,1,1,0,0,0,0,1,0,0,1,0,NA,NA,NA,NA,"119013",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,23,16,37,27,3,31,39,5,17,16,5,19,6,20,16,17,29,18,6,33,17,18,27,21,5,24,32,5,14,25,5,19,5,15,19,23,38,18,33,7,18,17,5,18,20,5,8,33,20,18,22,17,36,16,17,14,5,27,27,7,23,23,5,17,33,5,5,39,25,19,30,18,33,19,19,19,4,16,8
